PTS,FG%,3P%,FT%,REB,AST,TOV,STL,BLK
803,52.3,38.2,88.6,213,158,87,17,23
791,46.0,37.7,89.1,117,269,118,30,3
785,42.3,33.2,81.9,258,109,82,28,21
755,43.0,39.8,92.9,154,170,95,45,13
708,50.6,41.8,82.2,260,100,100,31,32
705,46.0,34.6,88.2,104,140,85,47,6
703,52.9,28.0,68.1,301,151,86,29,41
703,49.0,39.1,84.6,143,114,72,14,9
671,49.6,33.3,89.3,131,104,52,23,9
652,45.6,28.3,82.0,130,164,96,23,9
634,47.6,32.5,77.2,230,120,59,37,28
631,59.0,38.1,75.4,323,179,82,32,17
629,52.1,17.9,72.7,267,77,60,32,55
619,43.4,36.0,78.8,161,100,91,44,20
617,45.5,26.3,74.1,106,146,79,40,13
603,45.3,31.4,65.9,239,256,141,35,9
599,42.2,31.8,88.0,175,130,102,45,9
588,42.0,33.5,78.5,292,159,103,22,20
586,52.9,46.5,81.5,369,76,71,19,30
580,39.8,31.7,89.3,106,189,72,15,10
567,59.0,29.3,76.0,367,129,93,34,11
567,46.1,39.6,85.7,152,122,60,24,19
562,43.4,39.7,86.9,142,187,85,45,16
560,44.8,36.1,82.3,149,117,70,16,9
554,47.6,39.2,89.9,88,212,109,37,3
542,49.1,42.2,70.9,131,52,46,23,18
542,40.4,33.7,88.5,206,250,130,36,17
539,41.3,30.8,81.3,114,123,59,23,17
538,44.7,32.6,69.8,168,178,96,22,11
533,45.7,37.7,65.3,131,42,34,33,10
523,39.3,32.6,80.7,104,130,64,21,5
520,44.6,33.0,68.7,242,246,70,55,11
517,42.0,38.9,90.8,199,210,82,49,11
508,44.0,38.2,86.4,131,92,78,14,2
504,46.5,40.6,92.7,133,69,43,29,13
504,45.6,40.9,85.7,109,99,58,20,5
500,44.2,33.8,90.9,96,96,69,29,6
499,55.6,39.6,79.4,229,61,31,22,35
496,39.2,37.4,86.4,120,65,50,26,8
494,42.4,39.3,70.0,99,107,46,26,17
493,50.1,34.7,75.8,125,129,70,32,19
493,44.8,31.3,86.1,138,156,58,23,11
492,47.2,42.3,90.5,109,49,40,13,1
492,42.8,33.3,84.8,157,30,48,26,57
488,46.8,41.5,82.2,73,57,42,24,11
482,41.4,33.1,84.9,116,62,51,27,27
477,48.0,37.1,87.5,98,131,38,20,17
472,39.2,34.1,79.1,99,156,65,23,16
470,70.2,16.7,71.9,302,55,55,25,38
467,45.9,34.3,57.8,308,63,52,17,29
462,43.8,33.6,89.6,96,130,69,24,2
461,44.5,36.9,79.9,207,82,49,21,24
458,47.6,35.6,77.7,106,129,60,30,5
457,41.7,36.6,87.5,140,129,69,19,4
453,43.4,38.3,87.2,82,54,24,59,8
453,44.8,38.2,85.2,169,64,47,23,3
453,43.4,33.8,83.9,100,47,42,23,9
451,44.5,36.3,81.0,147,90,42,34,13
448,64.2,33.3,72.9,234,68,38,16,20
439,73.8,0.0,67.2,429,30,52,22,66
436,51.6,39.0,86.4,80,80,44,22,5
434,38.3,30.0,80.7,93,61,37,21,6
433,47.9,35.3,67.3,111,161,65,35,12
431,39.1,33.2,74.3,116,70,19,29,4
426,43.8,28.3,90.0,173,44,30,16,35
423,48.1,46.1,65.9,177,50,36,25,4
