Team,Games_Played,Wins,Loses,WIN%,MIN,PTS,FG%,3P%,FT%,Rebounds,Assists,Turnovers,Steals,Blocks
Phoenix Suns,29.0,24.0,5.0,0.828,48.2,111.9,47.8,36.8,78.8,45.8,26.3,14.0,8.6,4.1
Golden State Warriors,30.0,24.0,6.0,0.8,48.2,111.4,46.9,36.2,75.6,46.9,28.0,16.1,9.2,4.9
Brooklyn Nets,30.0,21.0,9.0,0.7,48.2,109.7,46.4,35.3,81.6,45.5,25.3,14.2,6.8,5.3
Utah Jazz,29.0,20.0,9.0,0.69,48.0,115.6,48.1,37.1,77.4,46.7,22.7,14.6,7.2,5.3
Chicago Bulls,28.0,18.0,10.0,0.643,48.0,108.5,46.4,36.7,81.4,43.2,23.1,13.4,7.9,4.6
Cleveland Cavaliers,31.0,19.0,12.0,0.613,48.0,107.0,46.3,36.0,79.2,45.0,25.3,15.7,7.6,4.4
Memphis Grizzlies,31.0,19.0,12.0,0.613,48.3,111.1,45.3,34.8,75.1,47.1,25.3,13.6,10.4,5.9
Milwaukee Bucks,32.0,19.0,13.0,0.594,48.3,110.0,45.2,35.9,75.2,47.1,22.5,14.4,7.8,4.4
Miami Heat,31.0,18.0,13.0,0.581,48.3,106.6,46.0,36.5,78.8,44.0,25.2,15.0,7.1,3.1
LA Clippers,30.0,16.0,14.0,0.533,48.2,106.0,45.1,36.2,78.3,44.0,23.1,14.9,8.0,4.4
Denver Nuggets,29.0,15.0,14.0,0.517,48.2,106.8,46.8,34.9,77.2,42.1,25.8,13.6,7.4,4.0
Los Angeles Lakers,31.0,16.0,15.0,0.516,49.3,110.5,46.4,35.4,72.8,46.0,24.5,16.1,8.5,5.8
Washington Wizards,31.0,16.0,15.0,0.516,48.6,105.6,46.3,32.2,76.9,44.3,23.5,13.6,6.5,5.1
Boston Celtics,30.0,15.0,15.0,0.5,49.0,108.5,44.4,33.9,80.9,45.7,22.8,13.9,7.3,5.3
Charlotte Hornets,32.0,16.0,16.0,0.5,48.6,115.3,46.2,38.0,74.6,43.3,26.6,12.9,8.7,5.3
Minnesota Timberwolves,30.0,15.0,15.0,0.5,48.5,108.8,42.8,34.2,76.7,45.3,23.2,15.4,8.9,5.6
Philadelphia 76ers,30.0,15.0,15.0,0.5,48.5,105.6,45.7,34.6,81.4,41.8,22.4,12.5,7.9,5.9
Atlanta Hawks,29.0,14.0,15.0,0.483,48.0,111.5,46.4,38.0,80.8,45.6,23.8,12.4,6.9,4.4
Dallas Mavericks,29.0,14.0,15.0,0.483,48.3,104.4,44.3,32.7,75.4,43.8,22.8,12.2,6.9,4.0
Toronto Raptors,29.0,14.0,15.0,0.483,48.2,106.4,44.0,34.3,76.5,44.4,21.6,12.5,9.2,4.8
New York Knicks,30.0,13.0,17.0,0.433,48.3,105.9,43.7,36.4,79.2,44.7,21.4,13.7,7.0,5.5
Indiana Pacers,31.0,13.0,18.0,0.419,48.5,108.0,46.1,32.3,78.6,45.2,23.8,14.1,7.2,6.0
Portland Trail Blazers,31.0,13.0,18.0,0.419,48.2,108.5,45.2,35.2,78.6,44.2,22.9,14.3,7.6,4.9
Sacramento Kings,31.0,13.0,18.0,0.419,48.5,111.3,45.4,33.5,75.3,45.1,22.3,14.2,7.4,4.8
San Antonio Spurs,29.0,11.0,18.0,0.379,48.2,109.6,46.9,35.4,72.4,45.0,27.8,12.9,8.2,5.1
Houston Rockets,30.0,10.0,20.0,0.333,48.2,106.4,44.9,34.1,70.2,43.8,23.4,17.6,7.5,5.0
New Orleans Pelicans,31.0,10.0,21.0,0.323,48.3,104.4,43.5,33.9,78.9,46.7,24.6,15.2,7.6,4.1
Oklahoma City Thunder,28.0,9.0,19.0,0.321,48.0,99.1,41.3,31.1,75.0,45.8,20.3,13.9,7.2,4.8
Orlando Magic,31.0,6.0,25.0,0.194,48.0,101.4,42.3,32.6,77.5,44.5,21.8,15.3,6.5,4.7
Detroit Pistons,29.0,5.0,24.0,0.172,48.2,100.4,41.6,30.9,78.6,42.2,21.7,15.4,8.0,4.8
